,Municipality,Latitude,Longitude
0,Aeugst am Albis,47.2679489,8.4863301
1,Affoltern am Albis,47.2782467,8.4521518
2,Bonstetten,48.4393183,10.706508
3,Hausen am Albis,47.2438769,8.534235
4,Hedingen,47.2984412,8.4489755
5,Kappel am Albis,47.2288482,8.5251335
6,Knonau,47.2251463,8.4573072
7,Maschwanden,47.2349836,8.4266177
8,Mettmenstetten,47.243488,8.4636702
9,Obfelden,47.2617701,8.4197059
10,Ottenbach,48.7338225,9.7494317
11,Rifferswil,47.241563,8.4971398
12,Stallikon,47.3269232,8.4901051
13,Wettswil am Albis,47.3390834,8.4734523
14,Adlikon,47.5825032,8.6912556
15,Benken (ZH),47.6537872,8.6537634
16,Berg am Irchel,47.5679698,8.5959486
17,Buch am Irchel,47.5489807,8.6199637
18,Dachsen,47.6661896,8.6150532
19,Dorf,46.4653657,12.7087174
20,Feuerthalen,47.6914771,8.64598
21,Flaach,47.5754461,8.6060755
22,Flurlingen,47.6860764,8.6272354
23,Andelfingen,48.153565,9.411618258463434
24,Henggart,47.5632291,8.6835729
25,Humlikon,47.5762347,8.6695684
26,Kleinandelfingen,47.5998043,8.6860581
27,Laufen-Uhwiesen,47.6741137,8.6143402
28,Marthalen,47.6257747,8.6501583
29,Oberstammheim,47.6317749,8.7986032
30,Ossingen,47.6128544,8.7283378
31,Rheinau,48.6610699,7.9383334
32,Thalheim an der Thur,47.5786159,8.7538871
33,Trüllikon,47.6377265,8.6934163
34,Truttikon,47.6296056,8.7276879
35,Unterstammheim,47.638955,8.7907193
36,Volken,47.5746457,8.6251185
37,Waltalingen,47.6219604,8.7790569
38,Bachenbülach,47.5047036,8.5473259
39,Bassersdorf,47.4435706,8.6299131
40,Bülach,47.5172321,8.5407118
41,Dietlikon,47.4222808,8.6155979
42,Eglisau,47.5733207,8.5239827
43,Embrach,47.5056384,8.5941089
44,Freienstein-Teufen,47.54200715,8.585872029681127
45,Glattfelden,47.559752,8.5008282
46,Hochfelden,48.755472,7.562195025290636
