,Gemeinde,Kanton,Translation
19,Aesch bei Birmensdorf,ZH_x001D_,Aesch (ZH)
61,Nussbaumen,TG_x001D_,Hüttwilen
60,Lanzenneunforn,TG_x001D_,Herdern
45,Nesslau-Krummenau,SG_x001D_,Nesslau-Krummenau
44,Krummenau,SG_x001D_,Nesslau-Krummenau
137,KŸssnacht am Rigi,SZ_x001D_,Küssnacht (SZ)
139,Selkingen,VS_x001D_,Grafschaft
146,Ausserbinn,VS_x001D_,Ernen
231,Biel (BE),BE_x001D_,Biel/Bienne
468,Courtion,FR_x001D_,Misery-Courtion
495,Pazzallo,TI_x001D_,Lugano
534,Lodano,TI_x001D_,Maggia
539,Moghegno,TI_x001D_,Maggia
544,Someo,TI_x001D_,Maggia
525,Giumaglio,TI_x001D_,Maggia
515,Aurigeno,TI_x001D_,Maggia
522,Coglio,TI_x001D_,Maggia
559,Niederwichtrach,BE_x001D_,Wichtrach
562,Zimmerwald,BE_x001D_,Wald (BE)
561,Oberwichtrach,BE_x001D_,Wichtrach
874,Gandria,TI_x001D_,Lugano
878,Hofstetten bei Elgg,ZH_x001D_,Hofstetten (ZH)
880,Brienz (GR),GR_x001D_,Brienz/Brinzauls
904,St.Niklaus,VS_x001D_,St. Niklaus
968,Osterfingen,SH_x001D_,Wilchingen
1009,Estavannens,FR_x001D_,Bas-Intyamon
1007,Albeuve,FR_x001D_,Haut-Intyamon
1013,Lessoc,FR_x001D_,Haut-Intyamon
1403,Hauterive,NE_x001D_,Hauterive (FR)
1423,Marolta,TI_x001D_,Acquarossa
1428,Ponto Valentino,TI_x001D_,Acquarossa
1414,Castro,TI_x001D_,Acquarossa
1420,Lottigna,TI_x001D_,Acquarossa
1458,Prato-Sornico,TI_x001D_,Lavizzara
1457,Peccia,TI_x001D_,Lavizzara
1451,Menzonio,TI_x001D_,Lavizzara
1442,Brontallo,TI_x001D_,Lavizzara
1441,Broglio,TI_x001D_,Lavizzara
1447,Fusio,TI_x001D_,Lavizzara
1876,Santa Maria Val MÃ¼stair,GR_x001D_,Sta. Maria Val MŸstair
1948,Feschel,VS_x001D_,Guttet-Feschel
2038,Avry-sur-Matran,FR_x001D_,Avry
2217,Mettendorf,TG_x001D_,Hüttlingen
2099,Billens,FR_x001D_,Billens-Hennens
2102,Lussy (FR),FR_x001D_,Villaz-Saint-Pierre
2153,RÃ¼thi (Rheintal),SG_x001D_,Rüthi (Rheintal)
2481,Schinznach Dorf,AG_x001D_,Schinznach-Dorf
2521,Saint-Sulpice,NE_x001D_,Lausanne
3076,Eschikofen,TG_x001D_,Hüttlingen
3099,Auressio,TI_x001D_,Isorno
3104,Berzona,TI_x001D_,Isorno
3091,Sitterdorf,TG_x001D_,Zihlschlacht-Sitterdorf
3190,Geschinen,VS_x001D_,Münster-Geschinen
3193,MÃ¼nster (VS),VS_x001D_,Münster-Geschinen
