Municipality,Latitude,Longitude
Aeugst am Albis,47.26703,8.48539
Affoltern im Emmental,47.06496,7.73395
Bonstetten,47.31505,8.46836
Hausen,51.38333,10.36667
Hedingen,47.29794,8.44833
Kappel,47.22811,8.52727
Knonau,47.2235,8.46197
Maschwanden,47.23431,8.42709
Mettmenstetten,47.24529,8.46347
Obfelden,47.26413,8.4215
Ottenbach,47.28228,8.40432
Rifferswil,47.24372,8.49692
Stallikon,47.32582,8.48965
Wettswil,47.33725,8.47527
Adlikon,47.44681,8.46641
Benken,47.19942,9.00735
Berg,50.93063,4.54336
Buch,47.71744,8.78151
Dachsen,47.66515,8.6179
Dorf,47.239,8.73567
Feuerthalen,47.69054,8.64357
Flaach,47.57608,8.60633
Flurlingen,47.6839,8.62995
Andelfingen,47.59447,8.67826
Henggart,47.56272,8.68215
Humlikon,47.57641,8.67007
Kleinandelfingen,47.60058,8.68362
Laufen,47.42193,7.49946
Marthalen,47.62913,8.65326
Oberstammheim,47.63244,8.79963
Ossingen,47.61175,8.72781
Rheinau,48.66602,7.93659
Thalheim,50.70077,12.84996
Trüllikon,47.63539,8.68919
Truttikon,47.62908,8.72718
Unterstammheim,47.63921,8.79064
Volken,47.57482,8.62579
Waltalingen,47.62203,8.77821
Bachenbülach,47.50317,8.54556
Bassersdorf,47.44342,8.62851
Bülach,47.52197,8.54049
Dietlikon / Dietlikon (Dorf),47.41827,8.6188
Eglisau,47.57738,8.52122
Embrach,47.50561,8.59406
Freienstein,47.53307,8.58455
Glattfelden,47.55871,8.50167
Hochfelden,48.75738,7.56769
Höri,47.50799,8.51203
Hüntwangen,47.59576,8.49116
Kloten,47.45152,8.58491
Lufingen,47.49108,8.59428
Nürensdorf,47.44814,8.64908
Oberembrach,47.4878,8.61828
Opfikon,47.43169,8.57588
Rafz,47.60438,8.54305
Rorbas,47.53092,8.57555
Wallisellen,47.41499,8.59672
Wasterkingen,47.58956,8.47121
Wil,47.46152,9.04552
Winkel,52.75417,4.90278
Alt-Bachs,47.52385,8.43942
Boppelsen,47.46945,8.40614
Buchs,47.39358,8.08233
Dallikon,47.4397,8.43996
Dänikon,47.44674,8.40648
Dielsdorf,47.48146,8.4585
Hüttikon,47.4426,8.38807
Neerach,47.51096,8.47099
Niederglatt,47.49066,8.49987
Niederhasli,47.48012,8.48576
Niederweningen / Niederweningen (Dorf),47.50614,8.37711
Oberglatt,47.47576,8.51896
Oberweningen,47.50226,8.40702
Otelfingen,47.46053,8.39141
Regensberg,47.48295,8.43791
Regensdorf,47.4341,8.46874
Rümlang,47.45041,8.52993
Schleinikon,47.49747,8.39748
Schöfflisdorf / Schöfflisdorf (Dorf),47.5003,8.41754
Stadel,47.5294,8.46353
Steinmaur,47.4971,8.45216
Weiach,47.55908,8.43344
Bäretswil,47.33709,8.85645
Bubikon,47.26698,8.8179
Dürnten,47.27856,8.84156
Fischenthal,47.33122,8.92052
Gossau,47.41551,9.25482
Grüningen (Stedtli),47.28144,8.75919
Hinwil,47.29426,8.84393
Rüti,47.25603,8.85552
Seegräben,47.34124,8.77131
Wald,47.27595,8.91405
Wetzikon,47.3264,8.79779
Adliswil,47.30997,8.52462
Hirzel,47.21743,8.60794
Horgen,47.25983,8.59778
Hütten,47.17573,8.66655
Kilchberg,47.32438,8.54548
Langnau,46.93936,7.78738
Oberrieden,47.27444,8.57838
Richterswil,47.20622,8.69686
Rüschlikon,47.30688,8.55135
Schönenberg,47.19182,8.64494
Thalwil,47.29175,8.56351
Wädenswil,47.22683,8.6687
Erlenbach,47.30298,8.59743
Herrliberg,47.29064,8.61464
Hombrechtikon,47.25298,8.77212
Küsnacht,47.31805,8.58401
Männedorf,47.25686,8.69893
Meilen,47.27232,8.64617
Oetwil,47.27049,8.72023
Stäfa,47.24254,8.72342
Uetikon,47.26441,8.67925
Zumikon,47.33158,8.62271
Zollikon,47.34019,8.57407
Bauma,47.36745,8.87905
Fehraltorf,47.38775,8.75149
Hittnau / Hittnau (Dorf),47.36334,8.82418
Illnau,47.4113,8.72125
Kyburg,47.45569,8.74476
Lindau,47.54612,9.68431
Pfaeffikon,47.36453,8.79202
Russikon,47.39669,8.77515
Sternenberg,47.69631,7.09397
Weisslingen,47.43063,8.76787
Wila,47.41928,8.84524
Wildberg,47.42585,8.81669
Dübendorf,47.39724,8.61872
Egg,47.29976,8.69032
Fällanden,47.37169,8.63869
Greifensee,47.36717,8.68115
Maur,47.33996,8.66778
Mönchaltorf,47.30958,8.72029
Schwerzenbach,47.38213,8.65727
Uster,47.34713,8.72091
Volketswil / Volketswil (Dorf),47.39016,8.69085
Wangen,47.34365,7.86982
Altikon,47.57404,8.78282
Bertschikon,47.32023,8.75775
Brütten,47.47318,8.67569
Dägerlen,47.56073,8.72147
Dättlikon,47.52493,8.6245
Dinhard,47.55516,8.76671
Elgg,47.49715,8.86523
Ellikon,47.56298,8.82331
Elsau,48.567,7.72301
Hagenbuch,47.52035,8.8892
Hettlingen,47.5461,8.70532
Hofstetten,47.47242,8.85401
Neftenbach / Dorf Neftenbach,47.52764,8.6649
Pfungen,47.51394,8.6423
Rickenbach,47.55191,8.79654
Schlatt,48.07177,13.78904
Seuzach Dorf,47.5356,8.73209
Turbenthal,47.43633,8.84629
Wiesendangen / Wiesendangen (Dorf),47.5217,8.78967
Winterthur,47.50564,8.72413
Zell,47.13673,7.92495
Aesch,47.47104,7.5973
Birmensdorf,47.35515,8.44256
Dietikon,47.40165,8.40015
Geroldswil,47.42213,8.41085
Oberengstringen,47.40841,8.46515
Oetwil,47.27049,8.72023
Schlieren,47.39668,8.44763
Uitikon,47.36911,8.45699
Unterengstringen,47.41396,8.44761
Urdorf,47.38507,8.42581
Weiningen,47.42022,8.43644
Zurich,47.36667,8.55
Aarberg,47.04439,7.27578
Bargen,47.79189,8.61022
Grossaffoltern,47.06534,7.35689
Kallnach,47.02032,7.23545
Kappelen,47.06015,7.2686
Lyss,47.0741,7.30655
Meikirch,47.00751,7.36402
Niederried,46.71874,7.93238
Radelfingen,47.02146,7.27178
Rapperswil,47.22557,8.82228
Schüpfen,47.03661,7.37723
Seedorf,47.03445,7.31249
Aarwangen,47.23845,7.76854
Auswil,47.13632,7.83226
Bannwil,47.23996,7.7359
Bleienbach,47.18493,7.7563
Busswil,47.09966,7.32222
Gondiswil,47.14677,7.87136
Gutenburg,47.6564,8.25147
Kleindietwil,47.14571,7.78965
Langenthal,47.21526,7.79607
Leimiswil,47.15079,7.76339
Lotzwil,47.19135,7.79102
Madiswil,47.16463,7.79858
Melchnau,47.18213,7.85128
Obersteckholz,47.19931,7.81706
Oeschenbach,47.10287,7.74756
Reisiswil,47.16513,7.84628
Roggwil,47.24119,7.82141
Rohrbach,47.13521,7.81334
Rohrbachgraben,47.11934,7.80044
Rütschelen,47.17322,7.77109
Schwarzhäusern,47.25173,7.76552
Thunstetten,47.20275,7.75746
Untersteckholz,47.20756,7.84445
Ursenbach,47.13696,7.77193
Wynau,47.2557,7.81626
Bern,46.94809,7.44744
Bolligen,46.9751,7.49697
Bremgarten,47.35109,8.34214
Kirchlindach,46.99965,7.41735
Köniz,46.92436,7.41457
Muri,47.27428,8.33854
Oberbalm,46.87363,7.4028
Stettlen,46.95835,7.52508
Vechigen,46.94616,7.56065
Wohlen,47.35066,8.27517
Zollikofen,46.99905,7.45809
Ittigen,46.97434,7.48281
Ostermundigen,46.95694,7.49019
Biel/Bienne,47.13713,7.24608
Evilard,47.15046,7.23895
Arch,47.16533,7.43139
Büetigen,47.10656,7.34119
Buren,53.44717,5.79906
Busswil,47.09966,7.32222
Diessbach,47.1078,7.36122
Dotzigen,47.12167,7.34558
Lengnau,47.18155,7.36814
Leuzigen,47.17458,7.45775
Meienried,47.13868,7.34137
Meinisberg,47.15965,7.34801
Oberwil,47.51407,7.55786
Pieterlen,47.17501,7.33791
Rüti,47.25603,8.85552
Wengi,47.08386,7.39926
Aefligen,47.09571,7.55175
Alchenstorf,47.12493,7.63614
Bäriswil,47.01947,7.52709
Burgdorf,47.05901,7.62786
Ersigen,47.09368,7.59507
Hasle,46.97787,8.05326
Heimiswil,47.06755,7.66665
Hellsau,47.14583,7.65175
Hindelbank,47.0427,7.54143
Höchstetten,47.14505,7.63134
Kernenried,47.06968,7.54679
Kirchberg,47.41159,9.0402
Koppigen,47.13125,7.60525
Krauchthal,47.00964,7.5664
Lyssach,47.06445,7.58228
Mötschwil,47.0496,7.56788
Niederösch,47.11837,7.61876
Oberburg,47.03665,7.62745
Oberösch,47.10955,7.60805
Rüdtligen,47.08872,7.5707
Rumendingen,47.10588,7.6394
Rüti,47.25603,8.85552
Willadingen,47.14667,7.61112
Wynigen,47.10586,7.66681
Corgémont,47.19457,7.14517
Cormoret,47.17078,7.05421
Cortébert,47.18825,7.10891
Courtelary,47.17822,7.07236
La,11.73022,104.48683
La,11.73022,104.48683
Mont,43.43482,-0.652
Orvin,47.16068,7.21368
Péry,47.19398,7.24913
Plagne,43.1575,1.0606
Renan,47.12686,6.92825
Romont,46.69652,6.91898
Saint,10.91667,38.65
Sonceboz,47.19654,7.17751
Sonvilier,47.13883,6.96404
Tramelan,47.22298,7.10287
Vauffelin,47.18731,7.3001
Villeret,47.15838,7.01889
Brüttelen,47.02269,7.14793
Erlach,47.0422,7.09728
Finsterhennen,47.02483,7.17536
Gals,47.02841,7.05183
Gampelen,47.01199,7.05771
Ins,47.00584,7.10609
Lüscherz,47.04461,7.15266
Müntschemier,46.99548,7.14626
Siselen,47.03242,7.18882
Treiten,47.00859,7.16025
Tschugg,47.02534,7.08103
Vinelz,47.034,7.11606
